PID,NAME,PRICE,PRODUCT_IMAGE,LOCATION,DELTA_TIME
250295002,아이폰13pro 128 화이트팔아요,650000,https://media.bunjang.co.kr/product/250295002_1_1705732441_w{res}.jpg,경기도 성남시 분당구 서현1동,1706932947
251512801,아이폰 13pro 256gb 씨에라블루,700000,https://media.bunjang.co.kr/product/251512801_1_1707977853_w{res}.jpg,인천광역시 부평구 부개3동,1706612897
252703694,아이폰 13 미니 256기가/ 급전필요해 싸게 팜/ 배터리 86,450000,https://media.bunjang.co.kr/product/252703694_1_1709169395_w{res}.jpg,전라남도 순천시 왕조1동,1707546276
251296284,아이폰 13 프로 128기가 무음카메라,650000,https://media.bunjang.co.kr/product/251296284_1_1706451528_w{res}.jpg,서울특별시 관악구 서원동,1706451528
261002272,아이폰13미니 미드나이트 128gb 배터리83퍼,330000,https://media.bunjang.co.kr/product/261002272_1_1714779531_w{res}.jpg,경기도 부천시 오정동,1714877770
261135452,(a급) 아이폰 13프로 시에라블루 128gb,630000,https://media.bunjang.co.kr/product/261135452_1_1714632734_w{res}.jpg,대구광역시 북구 대현동,1714630931
260207625,아이폰13 프로 256,650000,https://media.bunjang.co.kr/product/260207625_1_1713782503_w{res}.jpg,부산광역시 연제구 연산제6동,1714101608
261801472,아이폰13프로 128gb 시에라블루 판매합니다,615000,https://media.bunjang.co.kr/product/261801472_1_1714739794_w{res}.jpg,경상북도 문경시 점촌5동,1714871070
262058776,아이폰13프로 실버 128gb 신품급,550000,https://media.bunjang.co.kr/product/262058776_1_1714613515_w{res}.jpg,경기도 안성시 안성2동,1714623568
261455858,아이폰13프로 128gb 그래파이트 s급,600000,https://media.bunjang.co.kr/product/261455858_1_1714410054_w{res}.jpg,전라북도 전주시 덕진구 호성동,1714409856
262034460,아이폰 13 프로 128 골드 풀박 (번개페이 가능),600000,https://media.bunjang.co.kr/product/262034460_1_1714574569_w{res}.jpg,서울특별시 강남구 청담동,1714712310
262058335,아이폰 13 프로 128gb 골드 배터리 100%,700000,https://media.bunjang.co.kr/product/262058335_1_1714613164_w{res}.jpg,강원특별자치도 강릉시 옥천동,1714613164
262630328,"(2274)아이폰13/128gb/화이트/중고 #당일발송,직거래가능#",440000,https://media.bunjang.co.kr/product/262630328_1_1715064238_w{res}.jpg,경기도 성남시 중원구 성남동,1715064238
261708999,아이폰 13프로 시에라블루 128gb,480000,https://media.bunjang.co.kr/product/261708999_1_1714402068_w{res}.jpg,경상남도 김해시 삼안동,1714396964
261850365,아이폰 13미니 128기가 핑크,280000,https://media.bunjang.co.kr/product/261850365_1_1714461582_w{res}.jpg,부산광역시 사상구 모라제3동,1714452276
261983469,아이폰13프로 블루 128g 특특aaaa급!!배터리성능86%,681000,https://media.bunjang.co.kr/product/261983469_1_1714550928_w{res}.jpg,충청북도 청주시 서원구 사창동,1715143669
261791309,아이폰 13 미니 미드나이트 128g,200000,https://media.bunjang.co.kr/product/261791309_1_1714390754_w{res}.jpg,서울특별시 강남구 삼성2동,1714390754
261632082,아이폰 13 미니 미드나이트 128,350000,https://media.bunjang.co.kr/product/261632082_1_1714271764_w{res}.jpg,경기도 의정부시 송산1동,1714449662
261351106,상태좋은 아이폰13 256gb 화이트,550000,https://media.bunjang.co.kr/product/261351106_1_1714451672_w{res}.jpg,부산광역시 금정구 부곡제1동,1714547347
261736011,아이폰13미니 128기가 팝니다,310000,https://media.bunjang.co.kr/product/261736011_1_1714358626_w{res}.jpg,서울특별시 마포구 서교동,1714442981
261518268,아이폰 13 프로 그라파이트 128gb,500000,https://media.bunjang.co.kr/product/261518268_1_1714224385_w{res}.jpg,인천광역시 남동구 만수2동,1714224193
261249685,아이폰13미니 128g 미드나이트 s급!,460000,https://media.bunjang.co.kr/product/261249685_1_1713951620_w{res}.jpg,인천광역시 서구 청라1동,1714532045
261300293,아이폰13미니 256기가,370000,https://media.bunjang.co.kr/product/261300293_1_1714174835_w{res}.jpg,서울특별시 강북구 수유제3동,1714279588
263670374,아이폰 13미니 128gb 91퍼 애케플 1년 5개월남음,490000,https://media.bunjang.co.kr/product/263670374_1_1715867297_w{res}.jpg,부산광역시 금정구 부곡제2동,1715867297
262510538,[부천] 아이폰13미니 256 자급제 a급 싸게팝니다,430000,https://media.bunjang.co.kr/product/262510538_1_1714984710_w{res}.jpg,경기도 부천시 심곡1동,1714973820
259021764,아이폰13 128기가 그린 상태깨끗,520000,https://media.bunjang.co.kr/product/259021764_1_1712214740_w{res}.jpg,부산광역시 중구 남포동,1714529031
261744492,아이폰13미니 128g 실버 풀박스,450000,https://media.bunjang.co.kr/product/261744492_1_1714460501_w{res}.jpg,강원특별자치도 춘천시 근화동,1714365081
262223153,(4050)아이폰13 128gb 깨끗한기기 판매,489000,https://media.bunjang.co.kr/product/262223153_1_1714731469_w{res}.jpg,전라남도 영광군 영광읍,1714731469
261815967,아이폰13미니 128 팝니다. (급처),300000,https://media.bunjang.co.kr/product/261815967_1_1714543338_w{res}.jpg,인천광역시 남구 주안4동,1714514710
261276922,아이폰 13미니 스타라이트(화이트) 128기가 판매합니다.,400000,https://media.bunjang.co.kr/product/261276922_1_1713965295_w{res}.jpg,경기도 김포시 장기동,1715135671
261603790,미개봉 아이폰 13미니 128gb,600000,https://media.bunjang.co.kr/product/261603790_1_1714234446_w{res}.jpg,충청남도 천안시 동남구 신안동,1714228708
261679550,아이폰13mini [3사+128g],420000,https://media.bunjang.co.kr/product/261679550_1_1714298932_w{res}.jpg,부산광역시 수영구 수영동,1714387277
260437686,아이폰 13미니 핑크 512gb만 구합니다!!,600000,https://media.bunjang.co.kr/product/260437686_1_1713324344_w{res}.jpg,부산광역시 해운대구 반여제1동,1714655524
260330973,아이폰13pro 256,490000,https://media.bunjang.co.kr/product/260330973_1_1714014734_w{res}.jpg,경기도 광명시 철산2동,1714034042
260492417,아이폰13미니 128g 핑크 s급!,450000,https://media.bunjang.co.kr/product/260492417_1_1713352778_w{res}.jpg,인천광역시 서구 청라1동,1713352778
261071901,아이폰 13 512gb 화이트 / 배터리 성능 100% 급처,550000,https://media.bunjang.co.kr/product/261071901_1_1713966551_w{res}.jpg,서울특별시 광진구 화양동,1713801353
261398338,초s급 아이폰13프로 골드 256기가 배터리 100프로 팝니다.,770000,https://media.bunjang.co.kr/product/261398338_1_1714136359_w{res}.jpg,경상북도 포항시 북구 장량동,1714058436
260282556,아이폰13 미드나이트 128,450000,https://media.bunjang.co.kr/product/260282556_1_1713187751_w{res}.jpg,경기도 화성시 동탄8동,1713187751
260266280,아이폰 13프로 256gb 실버,800000,https://media.bunjang.co.kr/product/260266280_1_1713180396_w{res}.jpg,서울특별시 서초구 방배2동,1713180396
259730455,아이폰 13프로 256 시에라블루,700000,https://media.bunjang.co.kr/product/259730455_1_1712758999_w{res}.jpg,인천광역시 남동구 논현1동,1713332272
260436264,아이폰 13pro 128기가 화이트,500000,https://media.bunjang.co.kr/product/260436264_1_1713323348_w{res}.jpg,경기도 하남시 감일동,1713323348
